n1,n2,n3,n4,n5,n6,n7,n8,Anio,Desembolso,Numero,,,,,,,,,,
11,11,14,62,10,20,12,541,2018,4000,1,,,,,,,,,,
11,11,14,72,27,21,12,196,2018,152829,1,,,,,,,,,,
11,11,14,72,27,21,12,196,2019,131211,1,,,,,,,,,,
11,11,14,72,27,21,12,196,2020,161500,1,,,,,,,,,,
11,11,14,72,27,21,12,196,2021,137621,1,,,,,,,,,,
11,11,14,72,27,21,12,196,2022,0,1,,,,,,,,,,
11,11,14,35,43,19,12,407,2019,117588,4,,,,,,,,,,
11,11,14,35,43,19,12,407,2021,89064,4,,,,,,,,,,
11,11,14,35,43,19,13,441,2019,117588,4,,,,,,,,,,
11,11,14,35,43,19,13,441,2021,89064,4,,,,,,,,,,
11,11,14,35,43,19,13,451,2019,117588,4,,,,,,,,,,
11,11,14,35,43,19,13,451,2021,89064,4,,,,,,,,,,
11,11,14,62,43,19,12,536,2021,6619,1,,,,,,,,,,
11,11,14,62,52,21,12,326,2018,7942,1,,,,,,,,,,
11,11,14,81,52,21,12,326,2018,7942,1,,,,,,,,,,
11,12,14,62,10,14,11,178,2020,0,6,,,,,,,,,,
11,12,14,62,10,14,11,178,2021,0,6,,,,,,,,,,
11,12,14,30,10,14,12,384,2018,263700,2,,,,,,,,,,
11,12,14,30,10,14,12,384,2019,188974,2,,,,,,,,,,
11,12,10,58,10,14,12,536,2020,35988,4,,,,,,,,,,
11,12,14,35,10,14,12,536,2020,35988,4,,,,,,,,,,
11,12,14,57,10,14,12,536,2020,35988,4,,,,,,,,,,
11,12,14,62,10,14,12,536,2020,158700,6,,,,,,,,,,
11,12,14,62,10,14,12,536,2021,0,2,,,,,,,,,,
11,12,14,37,10,20,12,293,2018,2500,1,,,,,,,,,,
11,12,14,37,10,20,12,293,2019,3588,1,,,,,,,,,,
11,12,14,37,10,20,12,293,2021,2750,1,,,,,,,,,,
11,12,14,62,10,20,12,293,2018,2500,1,,,,,,,,,,
11,12,14,62,10,20,12,293,2019,3588,1,,,,,,,,,,
11,12,14,62,10,20,12,293,2021,2750,1,,,,,,,,,,
11,12,14,62,10,21,11,178,2020,0,3,,,,,,,,,,
11,12,14,62,10,21,11,178,2021,0,3,,,,,,,,,,
11,12,14,30,10,21,12,384,2018,87900,2,,,,,,,,,,
11,12,14,30,10,21,12,384,2019,42834,2,,,,,,,,,,
11,12,10,58,15,11,11,77,2018,28706,1,,,,,,,,,,
11,12,10,58,15,11,11,77,2019,11674,1,,,,,,,,,,
11,12,10,58,15,11,13,433,2018,28706,1,,,,,,,,,,
11,12,10,58,15,11,13,433,2019,11674,1,,,,,,,,,,
11,12,14,72,18,21,12,329,2019,35,7,,,,,,,,,,
11,12,14,72,18,21,12,329,2020,153937,7,,,,,,,,,,
11,12,14,72,18,21,12,329,2021,197358,7,,,,,,,,,,
11,12,14,47,23,13,12,248,2018,30396,2,,,,,,,,,,
11,12,14,47,23,13,12,248,2019,0,2,,,,,,,,,,
11,12,14,47,23,13,12,248,2020,0,2,,,,,,,,,,
11,12,14,47,26,12,12,248,2020,0,1,,,,,,,,,,
11,12,14,47,26,12,12,272,2019,699,1,,,,,,,,,,
11,12,14,47,26,12,12,272,2020,0,1,,,,,,,,,,
11,12,14,47,26,13,12,165,2018,0,2,,,,,,,,,,
11,12,14,47,26,13,12,165,2019,0,2,,,,,,,,,,
11,12,14,47,26,13,12,165,2020,0,2,,,,,,,,,,
11,12,14,47,26,13,12,248,2018,5154,9,,,,,,,,,,
11,12,14,47,26,13,12,248,2019,0,9,,,,,,,,,,
11,12,14,47,26,13,12,248,2020,0,8,,,,,,,,,,
11,12,14,35,26,13,12,312,2018,8344,2,,,,,,,,,,
11,12,14,35,26,13,12,313,2018,8344,2,,,,,,,,,,
11,12,10,41,26,14,12,38,2018,0,1,,,,,,,,,,
11,12,10,29,26,14,13,139,2018,45963,6,,,,,,,,,,
11,12,10,29,26,14,13,139,2019,69687,6,,,,,,,,,,
11,12,10,29,26,14,13,139,2020,69687,6,,,,,,,,,,
11,12,14,47,26,14,12,165,2021,80240,5,,,,,,,,,,
11,12,14,47,26,14,12,165,2022,0,5,,,,,,,,,,
11,12,14,62,26,14,12,210,2018,34195,1,,,,,,,,,,
11,12,15,51,26,14,12,210,2018,34195,1,,,,,,,,,,
11,12,14,47,26,14,12,224,2018,0,1,,,,,,,,,,
11,12,14,47,26,14,12,224,2019,0,1,,,,,,,,,,
11,12,14,47,26,14,12,224,2020,0,1,,,,,,,,,,
11,12,14,47,26,14,12,224,2021,80240,5,,,,,,,,,,
11,12,14,47,26,14,12,224,2022,0,5,,,,,,,,,,
11,12,14,47,26,14,12,248,2018,0,2,,,,,,,,,,
11,12,14,47,26,14,12,248,2019,0,2,,,,,,,,,,
11,12,14,47,26,14,12,248,2020,0,2,,,,,,,,,,
11,12,14,47,26,14,12,248,2021,80240,5,,,,,,,,,,
11,12,14,47,26,14,12,248,2022,0,5,,,,,,,,,,
11,12,10,29,26,14,12,257,2018,45963,6,,,,,,,,,,
11,12,10,29,26,14,12,257,2019,69687,6,,,,,,,,,,
11,12,10,29,26,14,12,257,2020,69687,6,,,,,,,,,,
11,12,11,23,26,14,12,457,2020,324185,5,,,,,,,,,,
11,12,11,23,26,14,12,457,2021,282375,5,,,,,,,,,,
11,12,11,23,26,14,12,457,2022,0,5,,,,,,,,,,
11,12,10,58,26,14,12,536,2020,44320,2,,,,,,,,,,
11,12,14,62,26,14,12,536,2020,44320,2,,,,,,,,,,
11,12,14,47,26,15,12,165,2018,10337,3,,,,,,,,,,
11,12,14,47,26,15,12,165,2019,0,3,,,,,,,,,,
11,12,14,47,26,15,12,165,2020,0,3,,,,,,,,,,
11,12,14,47,26,15,12,165,2021,2615,10,,,,,,,,,,
11,12,14,47,26,15,12,165,2022,0,10,,,,,,,,,,
11,12,14,47,26,15,12,224,2018,0,1,,,,,,,,,,
11,12,14,47,26,15,12,224,2019,0,2,,,,,,,,,,
11,12,14,47,26,15,12,224,2020,153948,4,,,,,,,,,,
11,12,14,47,26,15,12,224,2021,100573,13,,,,,,,,,,
11,12,14,47,26,15,12,224,2022,0,10,,,,,,,,,,
11,12,14,47,26,15,12,248,2018,10337,19,,,,,,,,,,
11,12,14,47,26,15,12,248,2019,0,19,,,,,,,,,,
11,12,14,47,26,15,12,248,2020,0,16,,,,,,,,,,
11,12,14,47,26,15,12,248,2021,2615,10,,,,,,,,,,
11,12,14,47,26,15,12,248,2022,0,10,,,,,,,,,,
11,12,14,47,26,15,12,272,2018,0,1,,,,,,,,,,
11,12,14,47,26,15,12,272,2019,0,1,,,,,,,,,,
11,12,14,47,26,15,12,272,2020,0,1,,,,,,,,,,
11,12,14,24,26,15,12,536,2018,95640,3,,,,,,,,,,
11,12,14,62,26,21,12,83,2020,46578,1,,,,,,,,,,
11,12,10,29,26,21,13,139,2018,0,3,,,,,,,,,,
11,12,10,29,26,21,13,139,2019,0,3,,,,,,,,,,
11,12,10,29,26,21,13,139,2020,0,3,,,,,,,,,,
11,12,14,47,26,21,12,165,2018,159040,1,,,,,,,,,,
11,12,14,47,26,21,12,165,2019,162510,1,,,,,,,,,,
11,12,14,47,26,21,12,165,2020,157252,1,,,,,,,,,,
11,12,14,47,26,21,12,165,2021,140810,5,,,,,,,,,,
11,12,14,47,26,21,12,165,2022,0,5,,,,,,,,,,
11,12,14,47,26,21,12,224,2018,279100,1,,,,,,,,,,
11,12,14,47,26,21,12,224,2019,0,1,,,,,,,,,,
11,12,14,47,26,21,12,224,2020,14780,2,,,,,,,,,,
11,12,14,47,26,21,12,224,2021,157159,6,,,,,,,,,,
11,12,14,47,26,21,12,224,2022,0,5,,,,,,,,,,
11,12,14,62,26,21,12,224,2020,46578,1,,,,,,,,,,
11,12,14,47,26,21,12,248,2018,792585,5,,,,,,,,,,
11,12,14,47,26,21,12,248,2019,454389,5,,,,,,,,,,
11,12,14,47,26,21,12,248,2020,469524,4,,,,,,,,,,
11,12,14,47,26,21,12,248,2021,140810,5,,,,,,,,,,
11,12,14,47,26,21,12,248,2022,0,5,,,,,,,,,,
11,12,10,29,26,21,12,257,2018,0,3,,,,,,,,,,
11,12,10,29,26,21,12,257,2019,0,3,,,,,,,,,,
11,12,10,29,26,21,12,257,2020,0,3,,,,,,,,,,
11,12,14,47,26,21,12,272,2018,110214,1,,,,,,,,,,
11,12,14,47,26,21,12,272,2019,102323,1,,,,,,,,,,
11,12,14,47,26,21,12,272,2020,96600,1,,,,,,,,,,
11,12,14,62,26,21,12,287,2020,46578,1,,,,,,,,,,
11,12,14,62,26,21,12,325,2020,46578,1,,,,,,,,,,
11,12,14,62,26,21,12,376,2020,46578,1,,,,,,,,,,
11,12,14,62,26,21,12,486,2020,46578,1,,,,,,,,,,
11,12,14,24,27,14,12,67,2020,25764,3,,,,,,,,,,
11,12,14,24,27,14,12,67,2021,217278,3,,,,,,,,,,
11,12,14,24,27,14,12,67,2022,0,3,,,,,,,,,,
11,12,14,57,27,14,12,67,2020,25764,3,,,,,,,,,,
11,12,14,57,27,14,12,67,2021,217278,3,,,,,,,,,,
11,12,14,57,27,14,12,67,2022,0,3,,,,,,,,,,
11,12,14,62,27,14,12,67,2020,25764,3,,,,,,,,,,
11,12,14,62,27,14,12,67,2021,217278,3,,,,,,,,,,
11,12,14,62,27,14,12,67,2022,0,3,,,,,,,,,,
11,12,15,68,27,14,12,67,2020,25764,3,,,,,,,,,,
11,12,15,68,27,14,12,67,2021,217278,3,,,,,,,,,,
11,12,15,68,27,14,12,67,2022,0,3,,,,,,,,,,
11,12,14,24,27,14,12,148,2020,25764,3,,,,,,,,,,
11,12,14,24,27,14,12,148,2021,217278,3,,,,,,,,,,
11,12,14,24,27,14,12,148,2022,0,3,,,,,,,,,,
11,12,14,57,27,14,12,148,2020,25764,3,,,,,,,,,,
11,12,14,57,27,14,12,148,2021,217278,3,,,,,,,,,,
11,12,14,57,27,14,12,148,2022,0,3,,,,,,,,,,
11,12,14,62,27,14,12,148,2020,25764,3,,,,,,,,,,
11,12,14,62,27,14,12,148,2021,217278,3,,,,,,,,,,
11,12,14,62,27,14,12,148,2022,0,3,,,,,,,,,,
11,12,15,68,27,14,12,148,2020,25764,3,,,,,,,,,,
11,12,15,68,27,14,12,148,2021,217278,3,,,,,,,,,,
11,12,15,68,27,14,12,148,2022,0,3,,,,,,,,,,
11,12,14,47,27,20,12,191,2021,22900,1,,,,,,,,,,
11,12,10,29,27,21,12,82,2018,0,1,,,,,,,,,,
11,12,10,29,27,21,12,82,2019,0,1,,,,,,,,,,
11,12,12,44,27,21,12,82,2018,0,1,,,,,,,,,,
11,12,12,44,27,21,12,82,2019,0,1,,,,,,,,,,
11,12,12,80,27,21,12,82,2018,0,1,,,,,,,,,,
11,12,12,80,27,21,12,82,2019,0,1,,,,,,,,,,
11,12,14,62,27,21,12,290,2018,4157046,2,,,,,,,,,,
11,12,14,62,27,21,12,290,2019,3688584,2,,,,,,,,,,
11,12,14,62,27,21,12,290,2020,4470206,2,,,,,,,,,,
11,12,14,62,27,21,12,290,2021,4719686,2,,,,,,,,,,
11,12,14,62,27,21,12,290,2022,0,2,,,,,,,,,,
11,12,10,59,27,21,12,329,2018,75344,1,,,,,,,,,,
11,12,10,59,27,21,12,329,2019,5638,1,,,,,,,,,,
11,12,14,72,27,21,12,329,2018,1633970,4,,,,,,,,,,
11,12,14,72,27,21,12,329,2019,1462643,3,,,,,,,,,,
11,12,14,72,27,21,12,329,2020,1364764,3,,,,,,,,,,
11,12,14,72,27,21,12,329,2021,1641134,3,,,,,,,,,,
11,12,10,29,27,21,13,332,2018,0,1,,,,,,,,,,
11,12,10,29,27,21,13,345,2019,0,1,,,,,,,,,,
11,12,12,44,27,21,13,345,2018,0,1,,,,,,,,,,
11,12,12,44,27,21,13,345,2019,0,1,,,,,,,,,,
11,12,12,80,27,21,13,345,2018,0,1,,,,,,,,,,
11,12,12,80,27,21,13,345,2019,0,1,,,,,,,,,,
11,12,14,47,27,21,12,561,2018,18224,1,,,,,,,,,,
11,12,10,29,28,20,12,82,2018,11667,2,,,,,,,,,,
11,12,10,29,28,20,12,82,2019,3089,2,,,,,,,,,,
11,12,12,44,28,20,12,82,2018,11667,2,,,,,,,,,,
11,12,12,44,28,20,12,82,2019,3089,2,,,,,,,,,,
11,12,12,80,28,20,12,82,2018,11667,2,,,,,,,,,,
11,12,12,80,28,20,12,82,2019,3089,2,,,,,,,,,,
11,12,10,29,28,20,13,345,2018,11667,2,,,,,,,,,,
11,12,10,29,28,20,13,345,2019,3089,2,,,,,,,,,,
11,12,12,44,28,20,13,345,2018,11667,2,,,,,,,,,,
11,12,12,44,28,20,13,345,2019,3089,2,,,,,,,,,,
11,12,12,80,28,20,13,345,2018,11667,2,,,,,,,,,,
11,12,12,80,28,20,13,345,2019,3089,2,,,,,,,,,,
11,12,10,18,28,21,13,91,2018,472,8,,,,,,,,,,
11,12,10,18,28,21,13,91,2019,39352,8,,,,,,,,,,
11,12,10,18,28,21,13,91,2020,45272,8,,,,,,,,,,
11,12,10,92,34,21,12,69,2018,21880,1,,,,,,,,,,
11,12,10,92,34,21,12,69,2019,25574,1,,,,,,,,,,
11,12,10,92,34,21,12,69,2020,25339,1,,,,,,,,,,
11,12,10,92,34,21,12,69,2021,21504,1,,,,,,,,,,
11,12,14,47,34,21,12,69,2018,21880,1,,,,,,,,,,
11,12,14,47,34,21,12,69,2019,25574,1,,,,,,,,,,
11,12,14,47,34,21,12,69,2020,25339,1,,,,,,,,,,
11,12,14,47,34,21,12,69,2021,21504,1,,,,,,,,,,
11,12,14,47,35,14,12,248,2018,0,2,,,,,,,,,,
11,12,14,47,35,14,12,248,2019,0,2,,,,,,,,,,
11,12,14,47,35,14,12,248,2020,0,2,,,,,,,,,,
11,12,14,62,43,19,11,480,2019,697112,2,,,,,,,,,,
11,12,14,47,53,14,12,248,2018,0,2,,,,,,,,,,
11,12,14,47,53,14,12,248,2019,0,2,,,,,,,,,,
11,12,14,47,53,14,12,248,2020,0,2,,,,,,,,,,
11,13,14,72,39,14,12,134,2021,20372,11,,,,,,,,,,
11,15,12,44,10,14,13,453,2018,3471364,1,,,,,,,,,,
11,15,12,44,10,14,13,453,2019,5355444,1,,,,,,,,,,
11,15,12,44,10,14,13,453,2020,1924007,1,,,,,,,,,,
11,15,12,44,10,14,12,560,2022,130179,1,,,,,,,,,,
11,15,12,44,10,20,12,601,2020,13520,2,,,,,,,,,,
11,15,14,38,10,21,12,43,2020,16054,1,,,,,,,,,,
11,15,14,38,10,21,12,43,2021,37597,1,,,,,,,,,,
11,15,14,38,10,21,12,43,2022,0,1,,,,,,,,,,
11,15,14,62,10,21,12,43,2020,16054,1,,,,,,,,,,
11,15,14,62,10,21,12,43,2021,37597,1,,,,,,,,,,
11,15,14,62,10,21,12,43,2022,0,1,,,,,,,,,,
11,15,14,72,10,21,12,43,2020,16054,1,,,,,,,,,,
11,15,14,72,10,21,12,43,2021,37597,1,,,,,,,,,,
11,15,14,72,10,21,12,43,2022,0,1,,,,,,,,,,
11,15,12,80,14,11,11,76,2020,100000,1,,,,,,,,,,
11,15,12,80,14,11,11,76,2021,100000,1,,,,,,,,,,
11,15,11,19,14,11,13,393,2018,20746,1,,,,,,,,,,
11,15,11,19,14,11,13,393,2019,74533,1,,,,,,,,,,
11,15,12,80,14,11,13,526,2018,622277,1,,,,,,,,,,
11,15,12,80,14,11,13,526,2019,244823,1,,,,,,,,,,
11,15,12,80,14,11,13,526,2020,216042,1,,,,,,,,,,
11,15,11,19,15,11,11,77,2019,35581,1,,,,,,,,,,
11,15,11,19,15,11,11,77,2020,14419,1,,,,,,,,,,
11,15,13,88,15,11,11,77,2019,35581,1,,,,,,,,,,
11,15,13,88,15,11,11,77,2020,14419,1,,,,,,,,,,
11,15,11,19,15,11,13,526,2019,35581,1,,,,,,,,,,
11,15,11,19,15,11,13,526,2020,14419,1,,,,,,,,,,
