n6	n6_descripcion
10	Alianza Publico Privada
11	Banco Multilateral De Desarrollo
12	Crowdfunding
13	Empresa Privada Extranjera
14	Entidad Bilateral
15	Entidad Descentralizada (Extranjera)
16	Gobierno Central
17	Gobiernos Autonomos Descentralizados
18	Institucion Religiosa
19	Organismo Internacional Multilateral
20	Organizacion No Gubernamental Extranjera No Registrada
21	Organizacion No Gubernamental Extranjera Registrada
22	Persona Natural Extranjera
23	Red Internacional
24	Universidad Extranjera
