n8,n8_descripcion
11,Ac Democracia
12,Accion Ecologica
13,Acra
14,Advisory Consultant Group Ecuador
15,Agencia Adventista De Desarrollo De Recursos Asistenciales Adra
16,Agencia Alemana De Cooperacion Tecnica
17,Agencia Brasilera De Cooperacion Internacional - Abc
18,Agencia Chilena De Cooperacion Internacional -Agci
19,Agencia De Cooperacion Internacional De Corea - Koica
20,Agencia De Cooperacion Internacional Del Japon - Jica
21,Agencia De Regulacion Y Control De La Bioseguridad Y Cuarentena Para Galapagos
22,Agencia De Regulacion Y Control Del Agua
23,Agencia De Regulación Y Control Fito Y Zoosanitaria
24,Agencia Ecuatoriana De Aseguramiento De La Calidad Del Agro - Agrocalidad
25,Agencia Italiana De Cooperacion Para El Desarrollo
26,Agencia Metropolitana De Control Municipio Del Distrito Metropolitano De Quito
27,Agencia Metropolitana De Transito De Quito
28,Agencia Nacional De Transito
29,Agronomes Et Veterinaires Sans Frontieres
30,Aldeas Infantiles Sos Ecuador
31,Alianza Giro
32,"Alianza Por Los Derechos, La Igualdad Y La Solidaridad Internacional"
33,Alternativas Latinoamericanas De Desarrollo Humano Y Estudios Antropológicos
34,Alto Comisionado De Las Naciones Unidas Para Los Refugiados - Acnur
35,Andrea Chavez
36,Apangora
37,Artisanal Gold Council
38,Asamblea De Unidad Cantonal De Cotacachi - Aucc
39,Asamblea Permanente De Derechos Humanos - Apdh
40,Asamtech Cia. Ltda.
41,Asociacion Artesanal De Caficultores Rio Intag - Accri
42,Asociación Artesanal De Productores Y Comercializadores De Café Del Noroccidente De Pichincha Aaprocnop
43,Asociacion Civil Chamos Venezolanos En Ecuador
44,Asociacion De Bancos Privados Del Ecuador
45,Asociación De Ganaderos De La Sierra Y El Oriente - Agso
46,Asociacion De Gestores Ambientales De Quito
47,Asociacion De Iglesias Evangelicas Bereanas Del Ecuador
48,Asociacion De Mujeres De Juntas Parroquiales Rurales Del Ecuador - Amjupre
49,Asociacion De Mujeres Waoranis Del Ecuador
50,Asociacion De Municipalidades Del Ecuador - Ame
51,Asociacion De Trabajadores Agricolas Campesinos Y Bananeros
52,Asociacion Entrepueblos
