n1	n2	n3	n4	n5	anio	codificado	devengado	count
10	10	11	16	10	2017	690300	637200	1
10	10	11	16	10	2018	106200	106200	1
25	137	10	14	11	2020	2257093.86	252695.98	2
25	137	10	14	11	2021	1244418.14	845907.4	2
10	10	11	14	11	2020	2267971.01	132956.41	2
10	10	11	14	11	2021	12675575.96	11244182.42	1
11	15	10	14	12	2019	2905424.99	1952729.92	1
11	15	10	14	12	2020	2321425	123074.26	1
11	15	10	14	12	2021	2016324.18	297449.89	1
25	137	10	14	12	2019	5810849.98	3905459.84	2
25	137	10	14	12	2020	4642850	246148.52	2
25	137	10	14	12	2021	4032648.36	594899.78	2
25	137	10	16	12	2017	8401691.66	1547910.58	2
25	137	10	16	12	2018	27358291.56	2206996.48	2
10	10	11	10	12	2019	1568082.78	1445448.34	1
12	21	10	14	13	2019	45748978.94	1219743.35	1
12	21	10	14	13	2020	35771247.8	2167687	2
12	21	10	14	13	2021	23257170.76	25370	2
12	21	10	16	13	2017	0	0	2
12	21	10	16	13	2019	1170953.6	292738.4	2
10	10	11	13	13	2019	227297.5	227297.5	1
10	10	11	14	13	2019	3168300	1546537.5	1
10	10	11	14	13	2021	44738783.24	41068284	1
12	18	10	14	14	2019	64053732.56	21884245.96	4
12	18	10	14	14	2020	68466917.88	29315186.06	4
12	18	10	14	14	2021	51490983.2	16481269.44	4
12	18	10	16	14	2018	63050131.14	22911197.7	4
12	18	10	16	14	2019	2843193.44	723287.76	4
13	31	10	14	14	2019	26358672.24	10700267.58	2
13	31	10	14	14	2020	26985088.82	11058472.84	2
13	31	10	14	14	2021	25382278.44	11650450.74	2
13	31	10	16	14	2018	33920131.6	17875910.22	2
13	31	10	16	14	2019	852217.24	229850.56	2
10	10	11	10	14	2018	621307.5	0	1
10	10	11	10	14	2020	2185145.76	2003050.28	1
10	10	11	10	14	2021	182095.48	0	1
10	10	11	13	14	2021	53100	53100	1
10	10	11	14	14	2019	64805927.72	23468728.89	1
10	10	11	14	14	2020	70168633.18	28505973.94	2
10	10	11	14	14	2021	59877574.88	27834117.23	2
10	10	11	16	14	2018	100782715.9	40890858.21	2
10	10	11	16	14	2019	422945.71	23076.62	1
10	10	11	13	15	2019	338955	338955	1
10	10	11	14	15	2019	159300	105905	1
10	10	11	16	15	2017	3246036.37	1006754.25	2
11	13	10	14	16	2020	11765611.76	227380.72	2
11	13	10	14	16	2021	67478.16	0	2
11	15	10	16	16	2017	9052466.72	4149013.13	3
11	15	10	16	16	2018	3982815.12	1884094.81	1
14	42	10	16	16	2017	18104933.44	8298026.26	6
14	42	10	16	16	2018	7965630.24	3768189.62	2
25	137	10	16	16	2017	0	0	1
25	137	10	17	16	2020	0	0	1
10	10	11	10	16	2017	152250	152250	1
10	10	11	10	16	2018	2550980.3	530420.41	2
10	10	11	14	16	2020	7381306.6	0	1
10	10	11	16	16	2017	3061271.1	24382.98	1
10	10	11	16	16	2018	1026491.16	342150.34	1
12	18	10	16	17	2017	18631338	10451244.78	2
13	31	10	16	17	2017	6874595.6	4131596.99	1
10	10	11	10	17	2017	182050.4	82212.2	1
10	10	11	16	17	2017	60005393.87	37682686.5	2
12	21	10	16	18	2017	597890	424503.9	4
12	21	10	16	18	2018	6055782.72	1227322.94	2
10	10	11	10	18	2017	3214951.41	0	1
10	10	11	10	18	2018	1826917.45	537657.55	1
12	20	10	16	19	2017	195030928.3	181818227	2
12	21	10	16	19	2017	15755133	12094183	2
12	20	10	16	19	2018	1349625	1214662.5	1
12	21	10	16	19	2018	27877504.44	1607095	2
14	42	10	14	19	2019	6095669.87	341785.51	1
14	42	10	14	19	2020	2136045	0	1
14	42	10	16	19	2018	412863268.8	0	2
14	42	10	16	19	2019	344152.42	82028.52	2
15	50	10	14	19	2019	98949290.72	21053457.4	2
15	50	10	14	19	2020	24427413.5	7537774.62	3
15	50	10	14	19	2021	22624479.24	6898041.4	2
15	50	10	16	19	2017	135949537.6	22834856.64	4
15	50	10	16	19	2018	1539863665	270190578	4
15	50	10	16	19	2019	3725134.89	830098.8	3
21	105	10	16	19	2017	81216	8749.44	1
10	10	11	10	19	2017	0	0	2
10	10	11	10	19	2018	257850146.1	115480205.8	2
10	10	11	11	19	2017	7022255.6	2414666.23	1
10	10	11	13	19	2019	156055	156055	1
10	10	11	14	19	2019	295147.5	196765	1
10	10	11	14	19	2020	3673028.43	1806882.27	1
10	10	11	14	19	2021	3001275.87	0	1
11	15	10	12	20	2019	1522000	608800	1
14	41	10	14	20	2020	27043240	18795430.8	2
14	42	10	14	20	2020	0	0	1
14	41	10	14	20	2021	3863320	0	2
10	10	11	10	20	2017	8390278	5580666.8	1
10	10	11	16	20	2017	34678442.64	8649151.66	1
10	10	11	10	21	2020	20975971.94	3347686.89	2
10	10	11	10	21	2021	2312567.32	401464.48	2
10	10	11	14	21	2018	0	0	2
10	10	11	14	21	2019	63312159.32	7705054.59	3
10	10	11	14	21	2020	130583100.7	33700420.52	2
10	10	11	14	21	2021	54592002.23	3787570.22	2
10	10	11	16	21	2017	53100	53100	1
10	10	11	16	21	2018	101958681.3	0	2
10	10	11	16	21	2019	6191456.8	913140.34	2
13	31	10	14	23	2019	5402733	0	2
13	31	10	14	23	2020	23517480	0	2
13	31	10	14	23	2021	23517476.64	0	2
19	83	10	16	23	2017	170280519.6	96084718.36	2
19	83	10	16	23	2018	85765785.46	38186677.22	1
19	83	10	16	23	2019	1830402.41	226791.9	1
10	10	11	10	23	2017	28381654.51	16295686.8	1
10	10	11	10	23	2018	18332654.18	16295687.69	1
10	10	11	12	23	2019	33674320.96	12366053.89	3
10	10	11	14	23	2019	5491665	0	2
10	10	11	14	23	2021	393382.5	340282.5	1
10	10	11	16	23	2017	34091602.06	3715611.21	1
10	10	11	16	23	2018	53844056.05	5375695.73	2
10	10	11	16	23	2019	828322.26	40.66	2
19	83	10	16	24	2018	331400052	5482287.82	2
19	83	10	16	24	2019	2766919.42	1855148	2
19	83	10	17	24	2020	0	0	1
10	10	11	10	24	2019	3880695.07	2349681.36	1
10	10	11	12	24	2019	10856450.85	5629188.03	1
10	10	11	14	24	2019	86700	57800	1
10	10	11	14	24	2020	26320267.34	222227.94	2
10	10	11	14	24	2021	111113.97	0	1
10	10	11	16	24	2017	44987.5	44987.5	1
10	10	11	16	24	2018	0	0	1
10	10	11	13	25	2019	105905	105905	1
10	10	11	14	25	2020	2891581.9	2313265.52	1
