n1	n2	n3	n4	n5	year	codificado	devengado	count
11	15	10	14	12	2019	2905424.99	1952729.92	1
11	15	10	14	12	2020	2321425	123074.26	1
11	15	10	14	12	2021	2016324.18	297449.89	1
11	13	10	14	16	2020	11765611.76	227380.72	2
11	13	10	14	16	2021	67478.16	0	2
11	15	10	16	16	2017	9052466.72	4149013.13	3
11	15	10	16	16	2018	3982815.12	1884094.81	1
11	15	10	12	20	2019	1522000	608800	1
11	13	10	16	36	2017	114311.34	0	2
11	15	10	10	40	2019	192084.65	0	1
11	11	10	16	46	2017	0	0	1
11	15	10	14	53	2019	1047057.34	23465.06	1
11	15	10	14	53	2020	1033532.88	0	1
11	15	10	14	53	2021	7850709.31	16549.25	1
11	15	10	16	53	2017	492384780.8	123808126.7	11
11	15	10	16	53	2018	362223679	96088521.54	11
11	15	10	16	53	2019	11485655.34	1093067.42	5
11	15	10	17	53	2020	0	0	1
11	15	10	12	57	2020	1468038	36800.62	1
11	15	10	12	57	2021	347308.46	10182.09	1
11	15	10	16	57	2017	75734101.8	18595900.2	16
11	15	10	16	57	2018	30671929.16	7314611.44	12
11	15	10	16	57	2019	23839085.6	2480887.96	8
11	15	10	16	57	2020	0	0	4
11	15	10	12	58	2020	50638.22	4210.1	5
11	15	10	12	58	2021	3166.12	0	5
11	13	10	16	58	2018	999175	452350.64	2
11	15	10	16	58	2018	231753.78	26933.54	3
11	13	10	16	58	2019	421597.85	269040	1
11	15	10	16	58	2019	0	0	2
11	15	10	19	58	2017	61238.75	16531.31	2
11	12	10	16	59	2017	12804005.07	4701418.38	3
11	12	10	16	59	2018	5423024.19	0	1
11	12	10	16	59	2019	613872	460404	1
11	12	10	19	59	2017	491148.58	55419.12	1
11	12	10	19	59	2018	570301.65	11965.52	3
11	15	10	14	63	2019	2839787.49	814550.98	1
11	15	10	14	63	2020	3004750.45	0	1
11	15	10	14	63	2021	1428156	0	1
11	11	10	16	63	2017	1117126459	811144337.4	2
11	15	10	16	63	2017	1046270468	491490533	10
11	11	10	16	63	2018	520410172.3	253099362.5	2
11	15	10	16	63	2018	358074490.7	276565.34	9
11	15	10	17	63	2019	7472402.14	1493445.71	4
11	12	10	14	70	2019	1666077.11	646290.18	1
11	15	10	14	70	2019	4539679.55	1450250.06	4
11	12	10	14	70	2020	17755319.6	5028048.19	4
11	15	10	14	70	2020	32524935.82	9164196.86	8
11	12	10	14	70	2021	42447552.88	5508640.64	4
11	15	10	14	70	2021	82033962.52	9928042.12	8
11	12	10	16	70	2018	961840	860840	4
11	15	10	16	70	2018	48830359.3	11682608.11	5
11	12	10	16	70	2019	62011.22	7330.5	2
11	15	10	16	70	2019	613638.63	112195.1	8
11	12	10	16	74	2017	0	0	2
11	15	10	16	74	2017	722820.66	125851.99	1
11	12	10	16	74	2018	913258.02	33832.96	2
11	15	10	14	75	2019	755586	262139.7	1
11	12	10	14	76	2019	0	0	1
11	12	10	14	76	2021	330400	330400	1
11	15	10	16	79	2018	387566.94	151039.65	1
11	11	10	14	80	2019	78879764.32	12090244.78	2
11	15	10	14	80	2019	27017399.3	2823329.54	1
11	11	10	14	80	2020	41647575.36	7042802.56	2
11	15	10	14	80	2020	11729617.69	1203903.62	1
11	11	10	14	80	2021	5139873.18	39727.08	2
11	15	10	14	80	2021	7240834.98	1969931.42	1
11	11	10	16	80	2018	6397725.16	1599435.99	1
11	11	10	16	80	2019	4815.2	277.8	1
11	12	10	16	83	2017	701830	504980	6
11	15	10	16	83	2017	14435205.16	8211105.76	4
11	15	10	14	87	2019	16288454.84	839261.48	2
11	15	10	14	87	2020	11318863.46	593315.56	2
11	15	10	14	87	2021	11648670.96	2973328.14	2
11	12	10	16	87	2017	152613.58	0	1
11	15	10	14	95	2019	32379407.38	279800	2
11	15	10	14	95	2020	12713999.76	1003661.16	2
11	15	10	14	95	2021	11567010.86	487833.66	2
11	15	10	16	95	2019	103500	16788	1
11	15	10	14	96	2019	20918511.14	11306127.64	2
11	15	10	14	96	2020	21244160.34	2618119.74	4
11	15	10	14	96	2021	14931753.5	1771222.56	4
11	15	10	16	96	2017	34115461.64	234043.15	1
11	15	10	16	96	2018	17058263.09	967028.72	1
11	15	10	16	96	2019	331429.99	55208.08	1
11	15	10	14	97	2019	229777942.2	85957127.04	9
11	15	10	14	97	2020	260518535.5	87687136.8	7
11	15	10	16	97	2017	1719597491	945280956.6	31
11	15	10	16	97	2018	1524944384	630845881.6	27
11	15	10	16	97	2019	20301577.02	1659276.44	26
11	15	10	16	97	2020	0	0	5
11	15	10	14	97	2021	230760993.6	86560718.44	6
11	15	10	16	97	2021	0	0	1
11	12	10	16	98	2017	1659972.09	790675.87	1
11	12	10	16	102	2017	68117153.91	4983539.46	21
11	12	10	16	102	2018	50628115.68	20110122.09	12
11	12	10	16	102	2019	943507.95	199794.66	3
11	12	10	16	102	2020	0	0	3
11	15	10	12	103	2019	191647500.1	0	1
11	15	10	14	103	2019	23792049.13	535714	2
11	15	10	14	103	2020	72418986.76	1619138	4
11	15	10	14	103	2021	37353658.95	392230.48	4
11	15	10	16	103	2018	133421338.5	4597753.99	3
11	15	10	16	103	2019	924642.84	64285.68	1
11	15	10	14	105	2019	133004312.5	15158308.56	2
11	15	10	14	105	2020	201647150.7	5563602.76	3
11	15	10	14	105	2021	131276236.5	6283198.18	3
11	15	10	18	105	2019	419703.6	80648	1
11	15	10	18	105	2020	314755.76	45175.36	1
11	15	10	18	105	2021	114456.64	0	1
11	15	10	16	105	2017	239967121.7	30386008.55	11
11	15	10	16	105	2018	66730115.32	32816071.84	8
11	15	10	16	105	2019	9937944.33	3326187.67	8
11	15	10	16	106	2017	354094396	161266606.3	3
11	15	10	16	106	2018	64024678.51	14345616.17	2
11	15	10	16	106	2019	1070619.22	6480.8	2
11	15	10	16	106	2020	257285884	0	1
11	15	10	14	107	2019	599238283.4	147337675.5	7
11	15	10	14	107	2020	1228793362	111547589.2	11
11	15	10	16	107	2017	1729686608	589356075.8	4
11	15	10	16	107	2018	3492732923	496399683.6	12
11	15	10	16	107	2019	112821634.7	40221641.15	7
11	15	10	16	107	2020	10400000	4798387.98	1
11	15	10	14	107	2021	969001369.9	141697425.1	9
11	15	10	16	107	2021	19773497.56	5975419.67	1
11	15	10	14	109	2019	349378070.7	143509089.2	4
11	15	10	14	109	2020	333465324.2	120259207.7	5
11	11	10	16	109	2017	1006460047	448567511.6	12
11	15	10	16	109	2017	1006460047	448567511.6	12
11	11	10	16	109	2018	1030097006	467096530	10
11	15	10	16	109	2018	1030097006	467096530	10
11	11	10	16	109	2019	1038738.3	179184.98	8
11	15	10	16	109	2019	660726.38	60771.16	6
11	11	10	16	109	2020	0	0	6
11	15	10	16	109	2020	0	0	6
11	15	10	14	109	2021	2509098736	1451992619	7
11	11	10	16	110	2017	3415227.44	2482364.56	6
11	13	10	16	110	2017	3828	0	1
11	15	10	16	110	2017	98772557.19	61926476.3	8
11	11	10	16	110	2018	34046861.69	121540	3
11	15	10	16	110	2018	31093191.27	6396517.98	3
11	15	10	14	111	2019	23405022.18	0	1
11	12	10	16	111	2017	22694.67	22694.67	1
11	12	10	16	111	2018	855050.99	32168.56	2
11	12	10	16	111	2019	0	0	4
11	15	10	14	112	2019	3251092332	435577016.6	8
11	15	10	14	112	2020	4036799105	260432703.4	8
11	15	10	16	112	2017	2579285804	845055308.4	13
11	15	10	16	112	2018	2689397465	120688966.1	9
11	15	10	16	112	2019	284587494.6	28265390.38	7
11	15	10	16	112	2020	0	0	4
11	15	10	14	112	2021	4089209439	1604697075	10
11	15	10	16	112	2021	1247400	1173000	4
11	11	10	11	114	2020	0	0	2
11	15	10	14	114	2019	7235855.32	554250.6	1
11	15	10	14	114	2020	28960998.21	6702211.92	4
11	11	10	16	114	2017	14545652.94	617918.6	2
11	15	10	16	114	2017	600800140.7	186463910.2	21
11	15	10	16	114	2018	752049743	106783946.1	17
11	15	10	16	114	2019	28302100	14287257.68	18
11	11	10	16	114	2020	0	0	2
11	15	10	16	114	2020	0	0	2
11	11	10	11	114	2021	0	0	2
11	15	10	14	114	2021	26319862.93	12030980.02	3
11	11	10	14	115	2019	89319031.94	45491560.84	10
11	12	10	14	115	2019	19000921.48	9457342.42	2
11	15	10	14	115	2019	78673949.72	29639726.94	6
11	11	10	14	115	2020	107944698.6	48800597.68	8
11	12	10	14	115	2020	11091815.02	4318028.24	2
11	15	10	14	115	2020	41515123.54	15429093.06	6
11	11	10	14	115	2021	7074500.84	0	8
11	12	10	14	115	2021	439266.34	0	2
11	15	10	14	115	2021	1602142.22	0	6
11	11	10	16	115	2017	819289568.9	322537253.1	18
11	12	10	16	115	2017	42551561.55	14732675.85	3
11	15	10	16	115	2017	130140291.1	47638534.26	12
11	11	10	16	115	2018	1184883524	271820586.9	18
11	12	10	16	115	2018	35953978.2	15073348.23	3
11	15	10	16	115	2018	147344626	50482966.86	12
11	11	10	16	115	2019	254264644.7	115936564.9	15
11	12	10	16	115	2019	222077.25	3223.59	3
11	15	10	16	115	2019	8436359.4	864783.6	9
11	11	10	14	115	2021	30845.38	1248.66	2
11	12	10	14	115	2021	10987734.46	5019471	2
11	11	10	14	115	2020	213565.62	111371.66	2
11	12	10	14	115	2020	6299968.6	1662715.48	2
11	11	10	16	115	2020	0	0	1
11	15	10	16	115	2020	0	0	4
11	15	10	14	116	2021	49179528.4	7280919.12	2
11	13	10	14	118	2019	951891532.3	59405235.2	10
11	13	10	14	118	2020	182579465.1	55131146.49	10
11	13	10	14	118	2021	108388619.9	16648473.25	11
11	13	10	16	118	2017	29952481.24	18430024.1	5
11	13	10	16	118	2018	1093469764	14538353.72	7
11	13	10	16	118	2019	11596435.07	343396.83	5
