n1,n1_descripcion
10,N/A
11,Fin a la pobreza
12,Hambre cero
13,Salud y bienestar
14,Educación de calidad
15,Igualdad de género
16,Agua limpia y saneamiento
17,Energía asequible y no contaminante
18,Trabajo decente y crecimiento económico
19,"Industria, innovación e infraestructura"
20,Reducción de las desigualdades
21,Ciudades y comunidades sostenibles
22,Protección y consumo responsable
23,Acción por el clima
24,Vida submarina
25,Vida de ecosistemas terrestres
26,"Paz, justicia e instituciones sólidas"
27,Alianzas para lograr los objetivos
