n2,n2_descripcion,,,,,
10,N/A,,,,,
11,Erradicación de la pobreza extrema.,,,,,
12,Reducción de la pobreza relativa en todas sus dimensiones.,,,,,
13,Implantación de sistemas de protección social.,,,,,
14,Garantía de acceso a servicios básicos y recursos financieros.,,,,,
15,Resiliencia a desastres ambientales  económicos y sociales.,,,,,
16,Fomentar la resiliencia a los desastres ambientales  económicos y sociales.,,,,,
17,Creación de marcos normativos para erradicar la pobreza.,,,,,
18,Poner fin al hambre.,,,,,
19,Poner fin a todas las formas de malnutrición.,,,,,
20,Duplicación de productividad e ingresos agrícolas a pequeña escala.,,,,,
21,Prácticas agrícolas sostenibles y resilientes.,,,,,
22,Mantenimiento de la diversidad genética de semillas.,,,,,
23,Aumento de inversiones en agricultura.,,,,,
24,Estabilidad mercados agropecuarios mundiales.,,,,,
25,Control de la volatilidad de precios de los alimentos.,,,,,
26,Reducción de la tase de mortalidad materna.,,,,,
27,Eliminar la mortalidad infantil.,,,,,
28,Poner fin a las enfermedades transmisibles.,,,,,
29,Reducción de las enfermedades no transmisibles y salud mental.,,,,,
30,Prevención y tratamiento de abusos de drogas y alcohol.,,,,,
31,Reducción de accidentes de tráfico.,,,,,
32,Garantía de acceso a la salud Sexual y reproductiva  y a la planificación familiar.,,,,,
33,Lograr la cobertura universal y acceso medicamentos.,,,,,
34,Reducción de muertes por contaminación química y polución.,,,,,
35,Control del tabaco.,,,,,
36,Apoyo a la I+D de vacunas y medicamentos esenciales.,,,,,
37,Aumento de la financiación del sistema sanitario.,,,,,
38,Refuerzo en la gestión de riesgos sanitarios.,,,,,
39,Asegurar la calidad de la educación primaria y secundaria.,,,,,
40,Asegurar el acceso y calidad de la educación Pre-escolar.,,,,,
41,Asegurar el acceso igualitario a la formación superior.,,,,,
42,Aumento de las competencias para acceder al empleo.,,,,,
43,Eliminación Disparidad de género y colectivos vulnerables.,,,,,
44,Asegurar la alfabetización y conocimiento de aritmética.,,,,,
45,Fomentar la educación Global para el Desarrollo Sostenible.,,,,,
46,Mejora de instalaciones educativas inclusivas y seguras.,,,,,
47,Aumento de becas para enseñanza superior.,,,,,
48,Mejorar la cualificación de docentes.,,,,,
49,Poner fin a la discriminación.,,,,,
50,Eliminar todas las formas de violencia de género.,,,,,
51,Eliminar matrimonio infantil y mutilación genital femenina.,,,,,
52,Reconocer el trabajo de cuidados y doméstico.,,,,,
