n5	n5_descripcion
10	Agencia De Regulacion Y Control De Electricidad Arconel
11	Agencia De Regulacion Y Control De Energia Y Recursos Naturales No Renovables
12	Agencia De Regulacion Y Control De La Bioseguriad Y Cuarentena Para Galapagos
13	Agencia De Regulacion Y Control De Las Telecomunicaciones Arcotel
14	Agencia De Regulacion Y Control Fito Y Zoosanitario
15	Agencia De Regulacion Y Control Hidrocarburifero Arch
16	Agencia De Regulacion Y Control Minero
17	Agencia Ecuatoriana De Aseguramiento De La Calidad Del Agro
18	Agencia Nacional De Regulacion Control Y Vigilancia Sanitaria Arcsa
19	Agencia Nacional De Regulacion Y Control Del Transporte Terrestre Transito Y Seguridad Vial
20	Asamblea Nacional
21	Autoridad Portuaria De Esmeraldas
22	Autoridad Portuaria De Guayaquil
23	Autoridad Portuaria De Guayaquil
24	Autoridad Portuaria De Manta
25	Autoridad Portuaria De Puerto Bolivar
26	Casa De La Cultura Ecuatoriana Benjamin Carrion
27	Casa De La Cultura Ecuatoriana Nucleo De Pastaza
28	Casa De Montalvo
29	Centro De Inteligencia Estrategica
30	Centro Interamericano De Artesanias Y Artes Populares  Cidap
31	Comision De Transito Del Ecuador
32	Consejo De Aseguramiento De La Calidad De La Educacion Superior
33	Consejo De Educacion Superior
34	Consejo De Gobierno Del Regimen Especial De Galapagos
35	Consejo De La Judicatura
36	Consejo De Participacion Ciudadana Y Control Social
37	Consejo Nacional De Competencias
38	Consejo Nacional De Control De Sustancias Estupefacientes Y Psicotropicos
39	Consejo Nacional De Salud  Conasa
40	Consejo Nacional Electoral
41	Consejo Nacional Para La  Igualdad De Genero
42	Consejo Nacional Para La  Igualdad De Pueblos Y Nacionalidades
43	Consejo Nacional Para La Igualdad De Discapacidades
44	Consejo Nacional Para La Igualdad Intergeneracional
45	Contraloria General Del Estado
46	Corporacion Ciudad Alfaro
47	Corporacion Del Seguro De Depositos Cosede
48	Corte Constitucional
49	Defensoria Del Pueblo
50	Defensoria Publica
51	Deuda Publica
52	Direccion General De Aviacion Civil
53	Direccion General De Registro Civil  Identificacion Y Cedulacion
54	Direccion Nacional De Registro De Datos Publicos
55	Direccion Nacional De Registros Publicos  Planta Central
56	Direccion Nacional De Salud De La Policia Nacional
57	Escuela Politecnica Nacional
58	Escuela Superior Politecnica Agropecuaria De Manabi Manuel Felix Lopez
59	Escuela Superior Politecnica Del Chimborazo
60	Escuela Superior Politecnica Del Litoral
61	Fiscalia General Del Estado
62	Hospital De Especialidades Fuerzas Armadas No.
63	Ingresos Y Transferencias
64	Instituto Antartico Ecuatoriano
65	Instituto De Altos Estudios Nacionales (Iaen)
66	Instituto De Cine Y Creacion Audiovisual
67	Instituto De Fomento A La Creatividad Y La Innovacion
68	Instituto De Fomento Al Talento Humano
69	Instituto De Fomento De Las Artes Innovacion Y Creatividades
70	Instituto De Investigacion Geologico Y Energetico
71	Instituto De Promocion De Exportaciones E Inversiones Extranjeras
72	Instituto De Provision De Alimentos
73	Instituto Ecuatoriano De Propiedad Intelectual  Iepi
74	Instituto Espacial Ecuatoriano
75	Instituto Geografico Militar
76	Instituto Nacional De Biodiversidad
77	Instituto Nacional De Donacion Y Transplantes De Organos Tejidos Y Celulas  Indot
78	Instituto Nacional De Economia Popular Y Solidaria  Ieps
79	Instituto Nacional De Eficiencia Energetica Y Energias Renovables
80	Instituto Nacional De Estadisticas Y Censos
81	Instituto Nacional De Evaluacion Educativa
82	Instituto Nacional De Investigacion En Salud Publica Inspi Dr Leopoldo Izquieta Perez
83	Instituto Nacional De Investigacion Geologico  Minero  Metalurgico
84	Instituto Nacional De Investigaciones Agropecuarias    I.N.I.A.P.
85	Instituto Nacional De La Meritocracia
86	Instituto Nacional De Meteorologia E Hidrologia Inamhi
87	Instituto Nacional De Patrimonio Cultural
88	Instituto Nacional De Pesca Inp
89	Instituto Nacional De Preinversion
90	Instituto Oceanografico
